"EventId","Timestamp","Level","EventType","Source","ShareId","ItemId","Message","Detail"
"ID-A2DA01AB3362","ID-56CA98AABEA6","Info","ID-3EEC13DCA519","TargetPath","ID-617F2AEC3D19","","ID-C323A9C452D9","ID-6AA3534B74DF"
"ID-ED922F081254","ID-62B75C949772","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-3D72E259E408","","ID-70CBF409EEB9","ID-528061F453CA"
"ID-6DF5601BCF12","ID-18A59FF7B496","Info","ID-3EEC13DCA519","TargetPath","ID-3D72E259E408","","ID-FDB6DCF46D3B","ID-528061F453CA"
"ID-4D797851A17B","ID-5909F45B5ED4","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-B3161AFA39C7","","ID-9CC3C4B40A8B","ID-E019A645A6DF"
"ID-36D2698AFD96","ID-8280DAE75495","Info","ID-3EEC13DCA519","TargetPath","ID-B3161AFA39C7","","ID-9125615406E6","ID-E019A645A6DF"
"ID-2283702B7200","ID-D28B62D661E9","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-9AB3A1D41F6F","","ID-848B912DC678","ID-6A0634F3BEDC"
"ID-EEBEDF1B0BF2","ID-5AC38E5531A6","Info","ID-3EEC13DCA519","TargetPath","ID-9AB3A1D41F6F","","ID-1DB8CA827BD7","ID-6A0634F3BEDC"
"ID-0B22AA3CB122","ID-131B2DA7DD73","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-E151038A58F1","","ID-E96DE47A43A5","ID-472BD6CE70DA"
"ID-B8A95AC79477","ID-472C16F83682","Info","ID-3EEC13DCA519","TargetPath","ID-E151038A58F1","","ID-60B567098357","ID-472BD6CE70DA"
"ID-6AA5E710F435","ID-AE34F94A42B6","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-E687DEF6E207","","ID-B731AF6C56D8","ID-A25C6D85416F"
"ID-C062EDABCA5F","ID-92587C6AE383","Info","ID-3EEC13DCA519","TargetPath","ID-E687DEF6E207","","ID-197D77C3A9BF","ID-A25C6D85416F"
"ID-5707AF8AB64B","ID-FCBE8149174B","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-1EE836D214D5","","ID-709CDFAD342E","ID-06291C3D3A54"
"ID-E84D60F4D8C6","ID-F24E07F86678","Info","ID-3EEC13DCA519","TargetPath","ID-1EE836D214D5","","ID-9804EE117A72","ID-06291C3D3A54"
"ID-8E6862A2C04D","ID-39397629428F","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-16B17ECEA9A8","","ID-91132D6C2666","ID-FF7A3E218FF7"
"ID-61BA1F6D1742","ID-B27F57ECDFD5","Info","ID-3EEC13DCA519","TargetPath","ID-16B17ECEA9A8","","ID-6A05F8A199B6","ID-FF7A3E218FF7"
"ID-27BB2EB88F27","ID-3A9ED2BC0799","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-90F90BE522E7","","ID-E3FB9BC286FE","ID-05FFE1CF69C7"
"ID-EEB600ACF1D7","ID-EED7B4E38E85","Info","ID-3EEC13DCA519","TargetPath","ID-90F90BE522E7","","ID-16E9150B3855","ID-05FFE1CF69C7"
"ID-20CF602AD709","ID-43DE06009C29","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-7ED99E3DF14D","","ID-88D1C7A105E5","ID-D9059BC9877C"
"ID-91C2431CC66D","ID-2780296FBB04","Info","ID-3EEC13DCA519","TargetPath","ID-7ED99E3DF14D","","ID-B47F5FB52F38","ID-D9059BC9877C"
"ID-E1A4CB24595B","ID-3C90B6438541","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-8E0553952B64","","ID-1717A7370549","ID-3F58DFEB20D2"
"ID-4E922BCD51D1","ID-5C45478021F6","Info","ID-3EEC13DCA519","TargetPath","ID-8E0553952B64","","ID-7A72434BBAA5","ID-3F58DFEB20D2"
"ID-705F7D536EDC","ID-1E94FC4B3CC3","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-F9CC6633F61F","","ID-CC7133024ED8","ID-4769264CBD94"
"ID-6768193315DF","ID-0397824C99B4","Info","ID-3EEC13DCA519","TargetPath","ID-F9CC6633F61F","","ID-BEF066A69A88","ID-4769264CBD94"
"ID-30D27CF394B1","ID-F7AA35E7594B","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-DBB1C39A0B00","","ID-9F42D7C0CF98","ID-7C26DE890676"
"ID-1FE0512F188C","ID-36CE35B1A777","Info","ID-3EEC13DCA519","TargetPath","ID-DBB1C39A0B00","","ID-496C95FA475E","ID-7C26DE890676"
"ID-A12085E96A98","ID-5966694E8A7E","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-083441950D2E","","ID-188E9C4807C6","ID-6887E9227873"
"ID-32244A89D4C3","ID-D20F754ACD73","Info","ID-3EEC13DCA519","TargetPath","ID-083441950D2E","","ID-B997B318C700","ID-6887E9227873"
"ID-2FA47C9F6953","ID-BA856720C478","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-C4B36BC6B4AF","","ID-9681DAF65B2F","ID-9888785BA34F"
"ID-C9A409E147A3","ID-AF8556E9375E","Info","ID-3EEC13DCA519","TargetPath","ID-C4B36BC6B4AF","","ID-3ACFC6E2281C","ID-9888785BA34F"
"ID-8C391360EBAD","ID-55906C6AE66E","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-C9E8ED6EE942","","ID-E08EFCC440E6","ID-0C38D7820722"
"ID-CD60CC2498F2","ID-84DA17067D15","Info","ID-3EEC13DCA519","TargetPath","ID-C9E8ED6EE942","","ID-6C49F671267E","ID-0C38D7820722"
"ID-2CB2374C3150","ID-2A218CD78DA5","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-2289EAD8D82D","","ID-42F5F8714D3E","ID-53B50C7BACAE"
"ID-632B1EB2280F","ID-2A218CD78DA5","Info","ID-3EEC13DCA519","TargetPath","ID-2289EAD8D82D","","ID-62F051AB9D2C","ID-53B50C7BACAE"
"ID-A4F1C1641AA6","ID-B8323EFEE915","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-05EDA4B1CD86","","ID-7F9F3366BCAC","ID-F6EA6115C57B"
"ID-51209A113461","ID-5FCEC6485FD3","Info","ID-3EEC13DCA519","TargetPath","ID-05EDA4B1CD86","","ID-0FCC8C62C6D0","ID-F6EA6115C57B"
"ID-B68088DDD5B6","ID-9610C2E7C5BE","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-14FCC0FDFB22","","ID-6A5CE4D9F1A9","ID-69D2E1971000"
"ID-516C38409046","ID-8077D5C49195","Info","ID-3EEC13DCA519","TargetPath","ID-14FCC0FDFB22","","ID-F3E5EEC9C103","ID-69D2E1971000"
"ID-DA98367C7C46","ID-52321B7B2E06","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-3ADDA7F5E394","","ID-CB66611DDD32","ID-91DBA78AA722"
"ID-A5D8CE9C9809","ID-69ADC1F7E9D1","Info","ID-3EEC13DCA519","TargetPath","ID-3ADDA7F5E394","","ID-156AE7EB0405","ID-91DBA78AA722"
"ID-1D9E38E5B4A5","ID-B94291E0E865","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-57BD8CDA7077","","ID-08F58A90A329","ID-0FA5F760FC90"
"ID-C36F088142A7","ID-2056828D98CA","Info","ID-3EEC13DCA519","TargetPath","ID-57BD8CDA7077","","ID-FA9148A84B24","ID-0FA5F760FC90"
"ID-BFC731DF5F86","ID-5ACF4B09078E","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-E9C60FF561F0","","ID-9B19DBDA7784","ID-AB3432473610"
"ID-BBB1F466AEAB","ID-33DF254FD6FB","Info","ID-3EEC13DCA519","TargetPath","ID-E9C60FF561F0","","ID-2098EBAEF6E3","ID-AB3432473610"
"ID-E2624E817786","ID-687402F10354","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-8199F4D1D424","","ID-55EA975EA669","ID-9B5FD18D2B82"
"ID-C4717894B0A0","ID-BE838579AAFB","Info","ID-3EEC13DCA519","TargetPath","ID-8199F4D1D424","","ID-0C622C1355C2","ID-9B5FD18D2B82"
"ID-C113CA9A9920","ID-3F56C8003918","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-70BDF6B0B975","","ID-380E9CD0A905","ID-66F5D4F3219E"
"ID-735934E3CA54","ID-C362CA2E65F3","Info","ID-3EEC13DCA519","TargetPath","ID-70BDF6B0B975","","ID-DEBBC47E18BC","ID-66F5D4F3219E"
"ID-4E903A928087","ID-32351926A604","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-D8CD7F796E22","","ID-CD96C6BD8E78","ID-EEF3D28188BB"
"ID-E35DCF213972","ID-BF818997B05F","Info","ID-3EEC13DCA519","TargetPath","ID-D8CD7F796E22","","ID-3CD92BB05B15","ID-EEF3D28188BB"
"ID-98F81E1D3E1E","ID-5D0C3E57D403","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-C33FA51EC066","","ID-8FAD1C0A33AC","ID-1FCC74CAC2AF"
"ID-D12E7A88DCF6","ID-5E47EC8520EA","Info","ID-3EEC13DCA519","TargetPath","ID-C33FA51EC066","","ID-4779FAB8C97E","ID-1FCC74CAC2AF"
"ID-693B1FE02C22","ID-7D6747A42E23","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-2D18C633D625","","ID-B15374D7E747","ID-87996E71F6A3"
"ID-3A75239C03A1","ID-9EF5B70B2FD7","Info","ID-3EEC13DCA519","TargetPath","ID-2D18C633D625","","ID-58339FBC4236","ID-87996E71F6A3"
"ID-95AF6E3B6069","ID-1498B3434A06","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-B5C59F3D2E5D","","ID-102A9E0594DF","ID-9935D948A793"
"ID-3B7FF378EB13","ID-DA615EA3E941","Info","ID-3EEC13DCA519","TargetPath","ID-B5C59F3D2E5D","","ID-E0FBE2F6CAAF","ID-9935D948A793"
"ID-0BE4A98CF2EF","ID-AD09C5D194CD","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-34E2B885354B","","ID-E1994FB9360F","ID-2BF123A671E3"
"ID-92A3AC93CF6E","ID-E27ED653AAFC","Info","ID-3EEC13DCA519","TargetPath","ID-34E2B885354B","","ID-52DF13CCEED5","ID-2BF123A671E3"
"ID-19FFE4C30359","ID-6FC82B668F59","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-86618F9EAF19","","ID-C928B6B32335","ID-3ED0527A3A7E"
"ID-C16DFF7911BB","ID-97F30FE7E981","Info","ID-3EEC13DCA519","TargetPath","ID-86618F9EAF19","","ID-5F6B89FA9EFE","ID-3ED0527A3A7E"
